folder,mat_file,tdms_file,log_no,n_peaks,n_intervals,freq_mean_Hz,freq_std_Hz,freq_median_Hz,freq_MAD_Hz,fft_f0_Hz
28_08_D_100mm_260mm,Up_8.271_ERp_0.66_PH2p_0_11_0_52.mat,log4_28.08.2025_11.00.24.tdms,4,17,16,0.1481124708710212,0.6016617994030093,0.17300638232148252,0.1312170995320592,0.02611225572761563
28_08_D_100mm_260mm,Up_14_ERp_0.7_PH2p_0_11_35_39.mat,"ER1_0,7_log4_28.08.2025_11.35.26.tdms",4,23,22,0.20264788010282908,0.7525670955409122,0.20608527157596004,0.12275376538100462,1.3118925845319145
28_08_D_100mm_260mm,Up_22.44_ERp_0.73_PH2p_0_12_55_13.mat,"ER1_0,75_log4_28.08.2025_12.55.13.tdms",4,39,38,0.32207729139642904,0.459542111136632,0.4055056937249996,0.2953569423781698,0.7072315510925781
28_08_D_100mm_260mm,Up_32_ERp_0.8_PH2p_0_13_28_47.mat,"ER1_0,8_log4_28.08.2025_13.28.43.tdms",4,6,5,0.049607038341845454,0.03576920424182871,0.04577604308953867,0.026118445288221732,0.02317518319691727
28_08_D_100mm_260mm,Up_42.35_ERp_0.84_PH2p_0_15_4_31.mat,"ER1_0,85_log4_28.08.2025_15.04.22.tdms",4,110,109,0.9209186225781296,0.7776682448394797,1.2085453826919381,0.7489322518552628,0.8160885307021565
28_08_D_100mm_260mm,Up_51.07_ERp_0.88_PH2p_0_15_59_28.mat,"ER1_0,9_log4_28.08.2025_15.59.24.tdms",4,82,81,0.6855484482801304,1.0808919711511522,1.2480810753466545,1.1777140934820254,0.007053095260498561
28_08_D_100mm_260mm,Up_20_ERp_0.75_PH2p_0_16_44_18.mat,"ER1_0,75_log4_28.08.2025_16.44.06.tdms",4,37,36,0.3187332012662314,0.34501231868823823,0.3421453866310762,0.24636761567774307,0.6903598108598737
29_08_D_88mm_260mm,Up_8_ERp_0.6_PH2p_0_12_18_10.mat,"ER1_0,6_log4_29.08.2025_12.18.07.tdms",4,101,100,0.8420217558718407,0.7640589453500336,0.744381534000766,0.1423065476434023,0.659345653206578
29_08_D_88mm_260mm,Up_15_ERp_0.65_PH2p_0_12_52_22.mat,"ER1_0,7_log4_29.08.2025_12.52.19.tdms",4,159,158,1.320108310040872,0.1542726093612555,1.3393319088148523,0.14838280787189512,1.3412997179473094
29_08_D_88mm_260mm,Up_39.4_ERp_0.76_PH2p_0_13_24_9.mat,"ER1_0,75_log4_29.08.2025_13.24.05.tdms",4,277,276,2.3105849243224417,0.3298618034704155,2.3615133622706943,0.34271542114746556,2.2795315240480396
29_08_D_88mm_260mm,Up_49.7_ERp_0.8_PH2p_0_14_13_17.mat,"ER1_0,8_log4_29.08.2025_14.13.14.tdms",4,161,160,2.119062212196586,0.6307362035792488,2.250947083834049,0.7856064101095266,0.006247385975426616
29_08_D_88mm_260mm,Up_59.6_ERp_0.83_PH2p_0_14_49_23.mat,"ER1_0,85_log4_29.08.2025_14.49.20.tdms",4,175,174,1.4549944381583295,0.6595893715794355,1.7080323713763268,0.7375099829908759,1.8659108220228626
02_09_D_88mm_200mm,Up_14_ERp_0.7_PH2p_0_13_50_51.mat,"ER1_0,7_Log4_02.09.2025_13.50.45.tdms",4,81,80,0.6882786625561749,0.8254467791178038,0.719278216891414,0.45587237335163766,0.575297970085829
02_09_D_88mm_200mm,Up_28_ERp_0.72_PH2p_0_14_18_17.mat,"ER1_0,72_Log4_02.09.2025_14.18.14.tdms",4,107,106,0.8962259165706676,0.5768042350096597,0.9892655368243289,0.4746542973462629,1.27406153541595
02_09_D_88mm_200mm,Up_35_ERp_0.75_PH2p_0_14_46_52.mat,"ER1_0,75_Log4_02.09.2025_14.46.50.tdms",4,88,87,0.7487081170527861,0.6104537015791093,0.9863790911305779,0.5450635689357335,1.2460026788538003
