folder,mat_file,tdms_file,log_no,n_peaks,n_intervals,freq_mean_Hz,freq_std_Hz,freq_median_Hz,freq_MAD_Hz,fft_f0_Hz,fft_a0_amp
01_09_D_120mm_260mm,LBO_Sweep_3_11_49_55.mat,ER1_0.95_log3_01.09.2025_11.49.51.tdms,3,5,4,0.762818545873333,0.42003329774490344,1.0512821859335952,0.32056873849403766,0.03060277053002162,0.09087012087209599
03_09_D_88mm_350mm,LBO_Sweep_1_8_39_29.mat,"ER1_0,65_Log1_03.09.2025_08.39.27.tdms",1,7,6,1.4016258392526717,0.9260553957253245,1.8846445475807032,1.12273280437478,0.12347294831175437,0.11678696228049484
03_09_D_88mm_350mm,LBO_Sweep_2_8_46_19.mat,"ER1_0,65_Log2_03.09.2025_08.46.16.tdms",2,8,7,1.2878468286495877,0.7700902378192189,1.484315975247547,0.8080490679229717,0.10901036034464714,0.10399905648344107
03_09_D_88mm_350mm,LBO_Sweep_1_8_47_59.mat,"ER1_0,71_Log1_04.09.2025_08.47.54.tdms",1,19,18,1.6941737740393845,0.5318250680782862,1.8979131906576354,0.3531338616068052,3.8314381080180415,0.09630985286668332
03_09_D_88mm_350mm,LBO_Sweep_3_8_52_36.mat,"ER1_0,65_Log3_03.09.2025_08.52.34.tdms",3,4,3,0.7343518793900472,0.2687409660581726,0.8485535556091086,0.2903725353444849,0.1792789401029061,0.13743282380335547
03_09_D_88mm_350mm,LBO_Sweep_2_8_54_8.mat,"ER1_0,71_Log2_04.09.2025_08.54.05.tdms",2,22,21,1.7680022408165548,0.6345421957715773,2.086898451521349,0.4399105957424126,2.076242708158711,0.09670096904757328
03_09_D_88mm_350mm,LBO_Sweep_3_9_0_6.mat,"ER1_0,71_Log3_04.09.2025_09.00.03.tdms",3,21,20,1.7165712553448664,0.5524665245532655,1.880679888377668,0.5237901658833709,2.2233833224016983,0.09057854955057916
03_09_D_88mm_350mm,LBO_Sweep_1_9_18_52.mat,"ER1_0,7_Log1_03.09.2025_09.18.49.tdms",1,16,15,1.2740988362636048,0.7338378687978221,1.4588977443981974,0.4834813405068721,0.07264485383855407,0.22354370792156436
03_09_D_88mm_350mm,LBO_Sweep_2_9_25_18.mat,"ER1_0,7_Log2_03.09.2025_09.25.15.tdms",2,17,16,1.0753351584459312,0.4929487908738613,1.4324527681791093,0.3948109173873218,0.06015500742312791,0.061094059528457624
03_09_D_88mm_350mm,LBO_Sweep_3_9_30_56.mat,"ER1_0,7_Log3_03.09.2025_09.30.53.tdms",3,16,15,1.0980794297951701,0.5052434003867755,1.505838134447252,0.43785747996917157,0.06122026684689913,0.06761214808544264
03_09_D_88mm_350mm,LBO_Sweep_1_9_48_47.mat,"ER1_0,72_Log1_03.09.2025_09.48.44.tdms",1,20,19,2.0757139609352815,0.42469789962673,2.152166801535786,0.5358962070349397,1.840848426585942,0.18458724985407488
03_09_D_88mm_350mm,LBO_Sweep_2_9_53_29.mat,"ER1_0,72_Log2_03.09.2025_09.53.27.tdms",2,20,19,2.229832340079945,0.43485559045552835,2.3424963984117873,0.4990715935347367,2.3721978412999642,0.16508189094664366
03_09_D_88mm_350mm,LBO_Sweep_3_9_58_33.mat,"ER1_0,72_Log3_03.09.2025_09.58.30.tdms",3,26,25,2.2743668844903646,0.5625977673531268,2.3624967810981357,0.6150390544011496,2.185535119868195,0.18234711201466186
03_09_D_88mm_350mm,LBO_Sweep_1_10_35_46.mat,"ER1_0,75_Log1_03.09.2025_10.35.44.tdms",1,7,6,0.6838991782153491,0.4453087371717093,0.8074677133534405,0.48087734632198176,0.06361064180593155,0.03644500804100871
03_09_D_88mm_350mm,LBO_Sweep_1_11_1_15.mat,"ER1_0,6_Log1_03.09.2025_11.01.13.tdms",1,2,1,2.026436895741848,0.0,2.026436895741848,0.0,0.3051701934168686,0.019154287866071453
03_09_D_88mm_350mm,LBO_Sweep_2_11_7_56.mat,"ER1_0,6_Log2_03.09.2025_11.07.53.tdms",2,2,1,0.64314347952199,0.0,0.64314347952199,0.0,0.58404733119572,0.054248835306028094
28_08_D_100mm_260mm,LBO_Sweep_1_10_37_19.mat,log1_28.08.2025_10.37.04.tdms,1,5,4,2.4539290164223067,0.8033047155030719,3.0042992604804857,0.2599731131442845,0.12095730449066087,0.022709237322066072
28_08_D_100mm_260mm,LBO_Sweep_2_10_47_35.mat,log2_28.08.2025_10.47.23.tdms,2,2,1,1.1414560870428754,0.0,1.1414560870428754,0.0,0.14689809972618192,0.015402087295594146
28_08_D_100mm_260mm,LBO_Sweep_3_10_54_6.mat,log3_28.08.2025_10.53.56.tdms,3,5,4,1.4788928712187484,1.0822856843061168,1.3589770436012698,0.22003331508398125,0.1005281750316161,0.02667050510436158
28_08_D_100mm_260mm,LBO_Sweep_1_11_15_25.mat,"ER10,7_log1_28.08.2025_11.15.05.tdms",1,4,3,0.8518189884649511,0.3771834312327798,1.1456958498313534,0.13618559624502236,0.08562552873763996,0.027522627006063054
28_08_D_100mm_260mm,LBO_Sweep_2_11_23_46.mat,"ER10,7_log2_28.08.2025_11.23.49.tdms",2,5,4,1.4484451303636827,0.73493587314072,1.6859732021622977,0.9124590818710957,0.07949087683206597,0.030263739827069005
